"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","FSM","SEN_type","SEN_grouping","Admission_type","school_characteristic","Religious_denomination","Value","Value_type","Denominator","Numerator"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","37.8","%","2143","811"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","50.2","%","7862","3947"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","21","%","932","196"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","34.5","%","2785","962"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","32.1","%","3506","1125"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","31.2","%","907","283"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","53.4","%","4019","2146"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","26.6","%","2707","721"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","51.2","%","10753","5507"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","27.3","%","418","114"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","62.7","%","2596","1628"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","31.7","%","357","113"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","47.8","%","1288","616"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","20.6","%","1025","211"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","39.2","%","2850","1117"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","37.4","%","1174","439"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","50","%","3450","1724"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","25","%","37317","9341"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","50.2","%","228613","114657"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","25.1","%","590","148"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","40.1","%","3165","1269"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","30.3","%","1184","359"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","46","%","12550","5779"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Gypsy/Roma","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","6.3","%","206","13"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Gypsy/Roma","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","7.3","%","422","31"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","20.5","%","24747","5069"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","49.4","%","174581","86259"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","23.5","%","909","214"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","36.7","%","2966","1090"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","33.5","%","4326","1451"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","45.5","%","15481","7042"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","17.6","%","1896","333"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","29.5","%","5597","1651"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","28","%","7131","1998"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","40.7","%","24044","9783"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","69.2","%","130","90"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","76.8","%","1876","1441"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","28.6","%","2539","727"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","42.7","%","25675","10975"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Gypsy/Roma","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","4.5","%","418","19"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Gypsy/Roma","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","6.8","%","825","56"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","18.1","%","50614","9173"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","45.8","%","356094","163141"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","11.8","%","85","10"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","16.7","%","66","11"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","17.7","%","47358","8361"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","46.1","%","328054","151228"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","26.2","%","214","56"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","59.1","%","1474","871"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","43.7","%","1106","483"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","46.1","%","25879","11922"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","selective schools","State-funded mainstream","All","96.7","%","2433","2352"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","36.7","%","662","243"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","32","%","13898","4450"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","selective schools","State-funded mainstream","All","92.6","%","460","426"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","47.7","%","44","21"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","71","%","742","527"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","selective schools","State-funded mainstream","All","96.9","%","193","187"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","37.4","%","182","68"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","39.4","%","4559","1795"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","selective schools","State-funded mainstream","All","98","%","148","145"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","33.4","%","13607","4551"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","45.2","%","175263","79153"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","selective schools","State-funded mainstream","All","93.4","%","8161","7619"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","37.2","%","320","119"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","42.6","%","8859","3778"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","selective schools","State-funded mainstream","All","97.5","%","281","274"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","57.1","%","84","48"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","73.6","%","1525","1123"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","selective schools","State-funded mainstream","All","97.6","%","369","360"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","36.5","%","1557","569"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","42.4","%","23596","9993"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","selective schools","State-funded mainstream","All","94.2","%","1359","1280"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","36.5","%","775","283"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","40.1","%","11732","4701"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","selective schools","State-funded mainstream","All","93.5","%","676","632"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","46.4","%","661","307"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","41","%","14329","5872"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","selective schools","State-funded mainstream","All","94","%","513","482"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","26.3","%","152","40"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","36.3","%","3245","1179"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","selective schools","State-funded mainstream","All","95.1","%","142","135"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","27.3","%","14029","3825"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","39","%","179373","70037"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","selective schools","State-funded mainstream","All","90","%","7879","7092"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","48.5","%","1073","520"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","51.7","%","24503","12664"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","selective schools","State-funded mainstream","All","97.8","%","2272","2221"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","67.5","%","40","27"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","76.1","%","783","596"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","selective schools","State-funded mainstream","All","98.3","%","176","173"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","36.6","%","782","286"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","44.6","%","11864","5292"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","selective schools","State-funded mainstream","All","94.9","%","683","648"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","37","%","138","51"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","46.1","%","4300","1983"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","selective schools","State-funded mainstream","All","97","%","133","129"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","35.5","%","141","50"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","41.1","%","2925","1201"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","selective schools","State-funded mainstream","All","93.1","%","130","121"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","46","%","2179","1003"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","48.8","%","50382","24586"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","selective schools","State-funded mainstream","All","97.2","%","4705","4573"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","41.6","%","1323","550"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","36.6","%","28227","10322"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","selective schools","State-funded mainstream","All","93.3","%","973","908"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","30.7","%","293","90"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","38.6","%","6170","2380"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","selective schools","State-funded mainstream","All","94.1","%","272","256"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","30.3","%","27636","8376"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","42.1","%","354636","149190"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","selective schools","State-funded mainstream","All","91.7","%","16040","14711"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Academies and free schools","All","52.1","%","20679","10771"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Converter Academies","All","57.7","%","13560","7821"
